,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
20,Alex Barre-Boulet,C,SYR,21.32,50,22,14,7,36,43,156,14.1,0.44,0.28,0.14,0.72,0.86,3.12
21,Joel L'Esperance,C,TEX,23.078,49,27,7,9,34,43,136,19.85,0.55,0.14,0.18,0.69,0.88,2.78
22,Tanner Kero,C,UTI,26.144,52,20,14,8,34,42,101,19.8,0.38,0.27,0.15,0.65,0.81,1.94
23,Matt Moulson,LW,ONT,34.873,46,22,11,9,33,42,96,22.92,0.48,0.24,0.2,0.72,0.91,2.09
24,Brandon Pirri,C,CHI,27.434,29,18,16,8,34,42,115,15.65,0.62,0.55,0.28,1.17,1.45,3.97
25,T.J. Tynan,C,CHI,26.555,47,10,17,14,27,41,73,13.7,0.21,0.36,0.3,0.57,0.87,1.55
26,Harry Zolnierczyk,LW,SPR,31.04,52,10,19,12,29,41,101,9.9,0.19,0.37,0.23,0.56,0.79,1.94
27,Zack MacEwen,RW,UTI,22.188,49,17,15,9,32,41,116,14.66,0.35,0.31,0.18,0.65,0.84,2.37
28,Troy Terry,RW,SD,21.013,41,16,19,6,35,41,92,17.39,0.39,0.46,0.15,0.85,1.0,2.24
29,Alex Belzile,C,LAV,27.042,53,13,16,11,29,40,127,10.24,0.25,0.3,0.21,0.55,0.75,2.4
30,Tyler Graovac,C,STK,25.386,47,17,13,10,30,40,83,20.48,0.36,0.28,0.21,0.64,0.85,1.77
31,C.J. Smith,LW,ROC,23.79,41,17,17,6,34,40,127,13.39,0.41,0.41,0.15,0.83,0.98,3.1
32,Chris Bourque,LW,BRI,32.628,53,10,15,15,25,40,124,8.06,0.19,0.28,0.28,0.47,0.75,2.34
33,Cooper Marody,C,BAK,21.736,39,12,21,7,33,40,90,13.33,0.31,0.54,0.18,0.85,1.03,2.31
34,Matt Puempel,RW,GR,25.64,48,18,15,7,33,40,175,10.29,0.38,0.31,0.15,0.69,0.83,3.65
35,Justin Dowling,C,TEX,27.957,47,11,15,13,26,39,116,9.48,0.23,0.32,0.28,0.55,0.83,2.47
36,Aaron Ness,D,HER,28.329,48,2,16,21,18,39,70,2.86,0.04,0.33,0.44,0.38,0.81,1.46
37,Seth Griffith,RW,MB,25.695,45,8,22,9,30,39,76,10.53,0.18,0.49,0.2,0.67,0.87,1.69
38,Otto Koivula,LW,BRI,20.039,51,17,10,12,27,39,76,22.37,0.33,0.2,0.24,0.53,0.76,1.49
39,Zach Redmond,D,ROC,30.139,41,19,8,12,27,39,138,13.77,0.46,0.2,0.29,0.66,0.95,3.37
40,Chase De Leo,C,SD,22.892,48,16,11,11,27,38,122,13.11,0.33,0.23,0.23,0.56,0.79,2.54
41,Erik Condra,RW,TEX,32.11,47,15,13,10,28,38,94,15.96,0.32,0.28,0.21,0.6,0.81,2.0
42,Adam Helewka,LW,MIL/TUC,23.154,46,16,12,10,28,38,79,20.25,0.35,0.26,0.22,0.61,0.83,1.72
43,Ethan Prow,D,WBS,25.827,52,15,13,10,28,38,125,12.0,0.29,0.25,0.19,0.54,0.73,2.4
44,John Gilmour,D,HFD,25.331,54,16,13,9,29,38,130,12.31,0.3,0.24,0.17,0.54,0.7,2.41
45,Teddy Blueger,C,WBS,24.085,45,21,8,9,29,38,123,17.07,0.47,0.18,0.2,0.64,0.84,2.73
46,Gerald Mayhew,RW,IA,25.706,49,18,12,8,30,38,125,14.4,0.37,0.24,0.16,0.61,0.78,2.55
47,Logan Shaw,C,MB/SD,25.944,46,23,8,7,31,38,113,20.35,0.5,0.17,0.15,0.67,0.83,2.46
48,Paul Thompson,RW,SPR,29.791,54,22,9,7,31,38,145,15.17,0.41,0.17,0.13,0.57,0.7,2.69
49,Joe Gambardella,LW,BAK,24.775,40,23,10,5,33,38,75,30.67,0.57,0.25,0.12,0.82,0.95,1.88
50,Emil Pettersson,C,MIL/TUC,24.669,54,11,13,13,24,37,106,10.38,0.2,0.24,0.24,0.44,0.69,1.96
51,Cal O'Reilly,C,IA,31.96,44,8,21,8,29,37,74,10.81,0.18,0.48,0.18,0.66,0.84,1.68
52,Chris Conner,RW,LV,34.73,50,12,11,14,23,37,96,12.5,0.24,0.22,0.28,0.46,0.74,1.92
53,Paul Carey,LW,PRO/BEL,29.975,41,11,12,14,23,37,92,11.96,0.27,0.29,0.34,0.56,0.9,2.24
54,Anthony Greco,RW,SPR,24.959,53,19,6,12,25,37,180,10.56,0.36,0.11,0.23,0.47,0.7,3.4
55,Cameron Gaunce,D,SYR,28.493,45,9,16,12,25,37,77,11.69,0.2,0.36,0.27,0.56,0.82,1.71
56,Kerby Rychel,LW,STK,23.94,48,19,6,12,25,37,119,15.97,0.4,0.12,0.25,0.52,0.77,2.48
57,Trevor Moore,LW,TOR,23.461,43,21,11,5,32,37,119,17.65,0.49,0.26,0.12,0.74,0.86,2.77
58,Sam Gagner,C,TOR,29.098,43,12,13,12,25,37,129,9.3,0.28,0.3,0.28,0.58,0.86,3.0
59,T.J. Brennan,D,LV,29.452,44,8,12,16,20,36,126,6.35,0.18,0.27,0.36,0.45,0.82,2.86
60,Sebastian Aho,D,BRI,22.577,46,5,15,16,20,36,99,5.05,0.11,0.33,0.35,0.43,0.78,2.15
61,Aleksi Saarela,C,CHA,21.687,52,17,16,3,33,36,140,12.14,0.33,0.31,0.06,0.63,0.69,2.69
62,Jacob MacDonald,D,SPR,25.55,50,13,10,13,23,36,110,11.82,0.26,0.2,0.26,0.46,0.72,2.2
63,Josh Currie,C,BAK,25.879,49,24,7,5,31,36,128,18.75,0.49,0.14,0.1,0.63,0.73,2.61
64,Curtis Lazar,C,STK,23.617,46,16,11,9,27,36,95,16.84,0.35,0.24,0.2,0.59,0.78,2.07
65,Alexander True,C,SJ,21.164,46,17,12,7,29,36,93,18.28,0.37,0.26,0.15,0.63,0.78,2.02
66,Carl Grundstrom,LW,ONT/TOR,20.789,49,16,11,9,27,36,98,16.33,0.33,0.22,0.18,0.55,0.73,2.0
67,Carter Camper,C,GR,30.194,46,12,15,9,27,36,91,13.19,0.26,0.33,0.2,0.59,0.78,1.98
68,Justin Kloos,C,IA/SD,24.792,41,12,15,9,27,36,104,11.54,0.29,0.37,0.22,0.66,0.88,2.54
69,Philippe Maillet,C,ONT,25.854,46,12,13,10,25,35,121,9.92,0.26,0.28,0.22,0.54,0.76,2.63
70,Denis Gurianov,RW,TEX,21.274,36,13,12,10,25,35,99,13.13,0.36,0.33,0.28,0.69,0.97,2.75
71,Janne Kuokkanen,C,CHA,20.31,44,11,18,6,29,35,93,11.83,0.25,0.41,0.14,0.66,0.8,2.11
72,Jack Rodewald,RW,BEL,24.584,39,17,10,8,27,35,90,18.89,0.44,0.26,0.21,0.69,0.9,2.31
73,Anthony Richard,LW,MIL,21.736,51,18,11,5,29,34,111,16.22,0.35,0.22,0.1,0.57,0.67,2.18
74,Dryden Hunt,LW,SPR,22.81,44,18,9,7,27,34,131,13.74,0.41,0.2,0.16,0.61,0.77,2.98
75,Logan Brown,C,BEL,20.532,39,12,15,7,27,34,60,20.0,0.31,0.38,0.18,0.69,0.87,1.54
76,Jordan Schroeder,LW,RFD,27.962,45,14,11,9,25,34,125,11.2,0.31,0.24,0.2,0.56,0.76,2.78
77,Francis Perron,LW,SJ,22.41,42,15,10,9,25,34,79,18.99,0.36,0.24,0.21,0.6,0.81,1.88
78,Curtis McKenzie,LW,CHI,27.563,51,9,12,13,21,34,105,8.57,0.18,0.24,0.25,0.41,0.67,2.06
79,Andy Andreoff,LW,SYR,27.333,50,18,11,4,29,33,112,16.07,0.36,0.22,0.08,0.58,0.66,2.24
80,Adam Johnson,LW,WBS,24.233,53,14,15,4,29,33,140,10.0,0.26,0.28,0.08,0.55,0.62,2.64
81,Jordan Kyrou,C,SA,20.365,35,13,9,11,22,33,90,14.44,0.37,0.26,0.31,0.63,0.94,2.57
82,Jake Bean,D,CHA,20.269,54,10,11,12,21,33,121,8.26,0.19,0.2,0.22,0.39,0.61,2.24
83,Cole Schneider,LW,HFD/MIL,28.055,48,15,12,6,27,33,101,14.85,0.31,0.25,0.12,0.56,0.69,2.1
84,Joseph Blandisi,C,SD/WBS,24.162,37,13,14,6,27,33,78,16.67,0.35,0.38,0.16,0.73,0.89,2.11
85,Blake Pietila,LW,BNG,25.567,42,16,10,7,26,33,110,14.55,0.38,0.24,0.17,0.62,0.79,2.62
86,Dmytro Timashov,LW,TOR,21.955,50,6,14,13,20,33,67,8.96,0.12,0.28,0.26,0.4,0.66,1.34
87,Michael Spacek,C,MB,21.435,50,8,15,9,23,32,77,10.39,0.16,0.3,0.18,0.46,0.64,1.54
88,Nathan Gerbe,LW,CLE,31.146,41,10,12,10,22,32,121,8.26,0.24,0.29,0.24,0.54,0.78,2.95
89,Brendan Gaunce,LW,UTI,25.476,38,16,13,3,29,32,107,14.95,0.42,0.34,0.08,0.76,0.84,2.82
90,Buddy Robinson,RW,STK,26.96,48,10,14,8,24,32,108,9.26,0.21,0.29,0.17,0.5,0.67,2.25
91,Kyle Capobianco,D,TUC,21.09,40,7,17,8,24,32,93,7.53,0.17,0.42,0.2,0.6,0.8,2.33
92,Josh Ho-Sang,RW,BRI,22.648,39,6,13,13,19,32,39,15.38,0.15,0.33,0.33,0.49,0.82,1.0
93,Steven Fogarty,C,HFD,25.408,44,14,8,9,22,31,75,18.67,0.32,0.18,0.2,0.5,0.7,1.7
94,Sam Steel,C,SD,20.614,42,14,9,8,23,31,81,17.28,0.33,0.21,0.19,0.55,0.74,1.93
95,Mike Vecchione,C,LV,25.553,53,11,12,8,23,31,109,10.09,0.21,0.23,0.15,0.43,0.58,2.06
96,Daniel Audette,C,LAV,22.36,48,10,13,8,23,31,75,13.33,0.21,0.27,0.17,0.48,0.65,1.56
97,Kyle Rau,LW,IA,25.892,46,15,8,8,23,31,137,10.95,0.33,0.17,0.17,0.5,0.67,2.98
98,Sheldon Rempal,F,ONT,23.108,39,11,10,10,21,31,70,15.71,0.28,0.26,0.26,0.54,0.79,1.79
99,Martin Necas,C,CHA,19.666,45,9,9,13,18,31,75,12.0,0.2,0.2,0.29,0.4,0.69,1.67
100,Mitch Reinke,D,SA,22.612,52,6,11,14,17,31,78,7.69,0.12,0.21,0.27,0.33,0.6,1.5
101,Nicholas DeSimone,D,SJ,23.817,44,9,11,11,20,31,102,8.82,0.2,0.25,0.25,0.45,0.7,2.32
102,Gage Quinney,C,CHI,23.133,48,14,10,7,24,31,70,20.0,0.29,0.21,0.15,0.5,0.65,1.46
103,Taylor Raddysh,RW,SYR,20.573,45,14,10,7,24,31,59,23.73,0.31,0.22,0.16,0.53,0.69,1.31
104,Michael McLeod,C,BNG,20.614,50,6,18,7,24,31,68,8.82,0.12,0.36,0.14,0.48,0.62,1.36
105,Danny O'Regan,C,ROC,24.625,52,14,13,4,27,31,80,17.5,0.27,0.25,0.08,0.52,0.6,1.54
106,Byron Froese,C,LV/LAV,27.513,48,14,8,8,22,30,102,13.73,0.29,0.17,0.17,0.46,0.62,2.12
107,Adam Mascherin,LW,TEX,20.277,51,15,7,8,22,30,86,17.44,0.29,0.14,0.16,0.43,0.59,1.69
108,Wayne Simpson,RW,ROC,28.822,51,16,8,6,24,30,122,13.11,0.31,0.16,0.12,0.47,0.59,2.39
109,Tanner Fritz,RW,BRI,27.072,48,11,13,6,24,30,89,12.36,0.23,0.27,0.12,0.5,0.62,1.85
110,Vinni Lettieri,C,HFD,23.606,32,15,5,10,20,30,110,13.64,0.47,0.16,0.31,0.62,0.94,3.44
111,Dylan Gambrell,C,SJ,22.054,32,11,12,7,23,30,89,12.36,0.34,0.38,0.22,0.72,0.94,2.78
112,Patrick Russell,RW,BAK,25.695,40,14,12,4,26,30,117,11.97,0.35,0.3,0.1,0.65,0.75,2.92
113,Philippe Myers,D,LV,21.638,48,9,12,8,21,29,132,6.82,0.19,0.25,0.17,0.44,0.6,2.75
114,Matt Roy,D,ONT,23.543,45,8,13,8,21,29,131,6.11,0.18,0.29,0.18,0.47,0.64,2.91
115,Rudolfs Balcers,LW,BEL,21.438,38,15,5,9,20,29,89,16.85,0.39,0.13,0.24,0.53,0.76,2.34
116,Ryan Fitzgerald,LW,PRO,23.907,40,8,17,4,25,29,78,10.26,0.2,0.42,0.1,0.62,0.72,1.95
117,Steve Bernier,RW,BRI,33.46,42,17,8,4,25,29,71,23.94,0.4,0.19,0.1,0.6,0.69,1.69
118,Nicolas Roy,C,CHA,21.608,48,14,11,4,25,29,104,13.46,0.29,0.23,0.08,0.52,0.6,2.17
119,Jake Evans,C,LAV,22.287,49,10,9,10,19,29,81,12.35,0.2,0.18,0.2,0.39,0.59,1.65
120,Filip Zadina,RW,GR,18.801,43,15,11,3,26,29,99,15.15,0.35,0.26,0.07,0.6,0.67,2.3
121,Evan McEneny,D,UTI,24.318,52,8,8,13,16,29,98,8.16,0.15,0.15,0.25,0.31,0.56,1.88
122,Ville Meskanen,RW,HFD,22.955,52,10,6,13,16,29,104,9.62,0.19,0.12,0.25,0.31,0.56,2.0
123,Alex Broadhurst,C,CLE,25.526,48,8,13,8,21,29,78,10.26,0.17,0.27,0.17,0.44,0.6,1.62
124,A.J. Greer,LW,COL,21.753,36,13,9,7,22,29,105,12.38,0.36,0.25,0.19,0.61,0.81,2.92
125,Michael Carcone,LW,UTI/TOR,22.325,41,12,10,7,22,29,84,14.29,0.29,0.24,0.17,0.54,0.71,2.05
126,Robbie Russo,D,TUC,25.58,46,5,9,15,14,29,99,5.05,0.11,0.2,0.33,0.3,0.63,2.15
127,Jonathan Dahlen,LW,UTI,20.737,50,14,10,5,24,29,103,13.59,0.28,0.2,0.1,0.48,0.58,2.06
128,Zac Dalpe,C,CLE,28.871,33,15,8,6,23,29,117,12.82,0.45,0.24,0.18,0.7,0.88,3.55
129,Morgan Geekie,C,CHA,20.156,52,14,9,6,23,29,63,22.22,0.27,0.17,0.12,0.44,0.56,1.21
130,Travis St. Denis,C,BRI,25.994,55,12,10,7,22,29,92,13.04,0.22,0.18,0.13,0.4,0.53,1.67
131,Ryan Haggerty,RW,WBS,25.534,47,14,6,9,20,29,134,10.45,0.3,0.13,0.19,0.43,0.62,2.85
132,Sam Lafferty,RW,WBS,23.53,47,8,12,9,20,29,106,7.55,0.17,0.26,0.19,0.43,0.62,2.26
133,Dylan Sikura,RW,RFD,23.291,40,13,11,5,24,29,124,10.48,0.33,0.28,0.12,0.6,0.72,3.1
134,Peter Cehlarik,LW,PRO,23.122,39,10,12,7,22,29,82,12.2,0.26,0.31,0.18,0.56,0.74,2.1
135,Cameron Hughes,C,PRO,21.942,52,13,9,7,22,29,111,11.71,0.25,0.17,0.13,0.42,0.56,2.13
136,Alexander Volkov,LW,SYR,21.12,49,11,7,11,18,29,75,14.67,0.22,0.14,0.22,0.37,0.59,1.53
137,Corey Tropp,RW,SD,29.142,38,16,11,2,27,29,64,25.0,0.42,0.29,0.05,0.71,0.76,1.68
138,Turner Elson,C,GR,26.005,49,12,8,8,20,28,90,13.33,0.24,0.16,0.16,0.41,0.57,1.84
139,Brett Sutter,C,ONT,31.289,45,13,7,8,20,28,81,16.05,0.29,0.16,0.18,0.44,0.62,1.8
140,Phil Varone,C,LV,27.782,22,11,9,8,20,28,53,20.75,0.5,0.41,0.36,0.91,1.27,2.41
141,Matt Donovan,D,MIL,28.354,54,11,9,8,20,28,101,10.89,0.2,0.17,0.15,0.37,0.52,1.87
142,Lane Pederson,C,TUC,21.115,46,13,4,11,17,28,78,16.67,0.28,0.09,0.24,0.37,0.61,1.7
143,Filip Chlapik,C,BEL,21.284,41,15,7,6,22,28,103,14.56,0.37,0.17,0.15,0.54,0.68,2.51
144,Anthony Louis,LW,RFD,23.595,54,11,10,7,21,28,117,9.4,0.2,0.19,0.13,0.39,0.52,2.17
145,Michael Mersch,LW,TEX,25.953,44,14,10,4,24,28,139,10.07,0.32,0.23,0.09,0.55,0.64,3.16
146,Jacob Nilsson,C,RFD,24.926,51,13,10,5,23,28,75,17.33,0.25,0.2,0.1,0.45,0.55,1.47
147,Max Jones,LW,SD,20.575,40,14,9,5,23,28,91,15.38,0.35,0.23,0.12,0.57,0.7,2.27
148,Matthew Phillips,RW,STK,20.444,47,11,11,6,22,28,73,15.07,0.23,0.23,0.13,0.47,0.6,1.55
149,John Quenneville,C,BNG,22.415,30,15,5,8,20,28,88,17.05,0.5,0.17,0.27,0.67,0.93,2.93
150,Michael Dal Colle,LW,BRI,22.237,29,16,5,7,21,28,67,23.88,0.55,0.17,0.24,0.72,0.97,2.31
151,Adam Clendening,D,CLE,25.887,33,3,14,11,17,28,88,3.41,0.09,0.42,0.33,0.52,0.85,2.67
152,Jayce Hawryluk,RW,SPR,22.705,28,7,17,4,24,28,57,12.28,0.25,0.61,0.14,0.86,1.0,2.04
153,Travis Morin,C,TEX,34.684,52,7,10,11,17,28,110,6.36,0.13,0.19,0.21,0.33,0.54,2.12
154,Matt Read,RW,IA,32.255,47,13,7,7,20,27,84,15.48,0.28,0.15,0.15,0.43,0.57,1.79
155,Erik Brannstrom,D,CHI,19.037,39,7,13,7,20,27,85,8.24,0.18,0.33,0.18,0.51,0.69,2.18
156,Logan Day,D,BAK,23.99,45,5,13,9,18,27,86,5.81,0.11,0.29,0.2,0.4,0.6,1.91
157,Ben Gleason,D,TEX,20.477,48,5,11,11,16,27,103,4.85,0.1,0.23,0.23,0.33,0.56,2.15
158,Kyle Wood,D,SJ,22.366,46,4,10,13,14,27,96,4.17,0.09,0.22,0.28,0.3,0.59,2.09
159,Brandon Gignac,LW,BNG,20.855,49,9,5,13,14,27,66,13.64,0.18,0.1,0.27,0.29,0.55,1.35
160,Trevor Carrick,D,CHA,24.2,50,7,11,9,18,27,119,5.88,0.14,0.22,0.18,0.36,0.54,2.38
161,Mark Letestu,C,CLE,33.611,43,13,11,3,24,27,96,13.54,0.3,0.26,0.07,0.56,0.63,2.23
162,Tomas Hyka,RW,CHI,25.482,29,11,12,4,23,27,58,18.97,0.38,0.41,0.14,0.79,0.93,2.0
163,Justin Bailey,RW,ROC/LV,23.209,47,15,6,6,21,27,127,11.81,0.32,0.13,0.13,0.45,0.57,2.7
164,Adam Tambellini,LW,BEL,23.872,52,12,10,5,22,27,105,11.43,0.23,0.19,0.1,0.42,0.52,2.02
165,Julien Gauthier,RW,CHA,20.918,55,15,7,5,22,27,113,13.27,0.27,0.13,0.09,0.4,0.49,2.05
166,Michael Bunting,LW,TUC,22.996,31,11,12,4,23,27,82,13.41,0.35,0.39,0.13,0.74,0.87,2.65
167,Alexander Nylander,RW,ROC,20.54,42,10,11,5,21,26,74,13.51,0.24,0.26,0.12,0.5,0.62,1.76
168,Jordan Szwarz,C,PRO,27.341,46,16,5,5,21,26,89,17.98,0.35,0.11,0.11,0.46,0.57,1.93
169,Lucas Carlsson,D,RFD,21.197,50,8,8,10,16,26,92,8.7,0.16,0.16,0.2,0.32,0.52,1.84
170,Darren Raddysh,D,RFD,22.547,54,8,6,12,14,26,106,7.55,0.15,0.11,0.22,0.26,0.48,1.96
171,Jayden Halbgewachs,F,SJ,21.484,43,10,13,3,23,26,54,18.52,0.23,0.3,0.07,0.53,0.6,1.26
172,Anthony Angello,C,WBS,22.527,50,15,10,1,25,26,103,14.56,0.3,0.2,0.02,0.5,0.52,2.06
173,Logan O'Connor,RW,COL,22.087,46,13,7,6,20,26,112,11.61,0.28,0.15,0.13,0.43,0.57,2.43
174,Trevor Murphy,D,TUC/SD,23.165,49,8,6,12,14,26,124,6.45,0.16,0.12,0.24,0.29,0.53,2.53
175,Marian Studenic,F,BNG,19.883,46,12,8,6,20,26,65,18.46,0.26,0.17,0.13,0.43,0.57,1.41
176,Spencer Foo,RW,STK,24.326,49,13,7,6,20,26,115,11.3,0.27,0.14,0.12,0.41,0.53,2.35
177,Joey LaLeggia,D,SA,26.226,48,8,11,7,19,26,92,8.7,0.17,0.23,0.15,0.4,0.54,1.92
178,Brad Malone,C,BAK,29.323,41,7,11,7,18,25,99,7.07,0.17,0.27,0.17,0.44,0.61,2.41
179,Dylan Coghlan,D,CHI,20.57,42,9,9,7,18,25,75,12.0,0.21,0.21,0.17,0.43,0.6,1.79
180,Adam Cracknell,C,TOR/SD,33.17,29,10,11,4,21,25,53,18.87,0.34,0.38,0.14,0.72,0.86,1.83
181,Glenn Gawdin,C,STK,21.476,46,11,10,4,21,25,80,13.75,0.24,0.22,0.09,0.46,0.54,1.74
182,Karson Kuhlman,RW,PRO,22.971,50,12,9,4,21,25,95,12.63,0.24,0.18,0.08,0.42,0.5,1.9
183,Mason Shaw,LW,IA,19.866,53,4,14,7,18,25,79,5.06,0.08,0.26,0.13,0.34,0.47,1.49
184,Dillon Dube,C,STK,20.156,24,9,8,8,17,25,75,12.0,0.38,0.33,0.33,0.71,1.04,3.12
185,Taylor Leier,LW,ROC/LV,24.581,45,12,9,4,21,25,96,12.5,0.27,0.2,0.09,0.47,0.56,2.13
186,Kalle Kossila,LW,SD,25.421,26,9,12,4,21,25,67,13.43,0.35,0.46,0.15,0.81,0.96,2.58
187,Nick Schilkey,RW,CHA,24.345,43,11,6,8,17,25,66,16.67,0.26,0.14,0.19,0.4,0.58,1.53
188,Brennan Menell,D,IA,21.312,47,2,9,14,11,25,61,3.28,0.04,0.19,0.3,0.23,0.53,1.3
189,Jayson Megna,C,HER,28.619,48,12,7,6,19,25,103,11.65,0.25,0.15,0.12,0.4,0.52,2.15
190,Michael Joly,RW,COL,23.365,39,11,8,6,19,25,60,18.33,0.28,0.21,0.15,0.49,0.64,1.54
191,Kale Clague,D,ONT,20.28,45,3,12,10,15,25,79,3.8,0.07,0.27,0.22,0.33,0.56,1.76
192,Paul Bittner,LW,CLE,21.862,38,7,10,7,17,24,94,7.45,0.18,0.26,0.18,0.45,0.63,2.47
193,Brendan Guhle,D,ROC,21.131,47,5,11,8,16,24,128,3.91,0.11,0.23,0.17,0.34,0.51,2.72
194,David Warsofsky,D,COL,28.296,32,3,13,8,16,24,99,3.03,0.09,0.41,0.25,0.5,0.75,3.09
195,Gabriel Dumont,C,SYR,27.943,34,6,9,9,15,24,74,8.11,0.18,0.26,0.26,0.44,0.71,2.18
196,Colton White,D,BNG,21.369,53,6,8,10,14,24,78,7.69,0.11,0.15,0.19,0.26,0.45,1.47
197,Ludwig Bystrom,D,SPR,24.157,49,3,5,16,8,24,53,5.66,0.06,0.1,0.33,0.16,0.49,1.08
198,Hudson Fasching,RW,TUC,23.135,45,11,7,6,18,24,93,11.83,0.24,0.16,0.13,0.4,0.53,2.07
199,Joel Lowry,LW,SPR,26.834,35,8,13,3,21,24,43,18.6,0.23,0.37,0.09,0.6,0.69,1.23
200,Adam Brooks,C,TOR,22.36,40,13,8,3,21,24,76,17.11,0.33,0.2,0.07,0.53,0.6,1.9
201,Eric Robinson,LW,CLE,23.256,45,12,7,5,19,24,90,13.33,0.27,0.16,0.11,0.42,0.53,2.0
202,Darren Archibald,LW,UTI/BEL,28.597,33,13,6,5,19,24,95,13.68,0.39,0.18,0.15,0.58,0.73,2.88
203,Greg McKegg,C,CHA,26.246,31,6,8,9,14,23,44,13.64,0.19,0.26,0.29,0.45,0.74,1.42
204,Jean-Sebastien Dea,C,WBS,24.6,24,6,9,8,15,23,68,8.82,0.25,0.38,0.33,0.62,0.96,2.83
205,Mason Marchment,LW,TOR,23.245,40,12,8,3,20,23,90,13.33,0.3,0.2,0.07,0.5,0.57,2.25
206,Gemel Smith,C,PRO,24.417,25,9,11,3,20,23,54,16.67,0.36,0.44,0.12,0.8,0.92,2.16
207,Wade Megan,C,GR,28.151,30,12,4,7,16,23,91,13.19,0.4,0.13,0.23,0.53,0.77,3.03
208,Kevin Porter,C,ROC,32.513,38,7,9,7,16,23,63,11.11,0.18,0.24,0.18,0.42,0.61,1.66
209,Liam O'Brien,LW,HER,24.132,52,14,9,0,23,23,102,13.73,0.27,0.17,0.0,0.44,0.44,1.96
210,JC Lipon,RW,MB,25.183,43,10,9,4,19,23,108,9.26,0.23,0.21,0.09,0.44,0.53,2.51
211,Tyler Gaudet,C,MIL,25.449,41,8,7,8,15,23,76,10.53,0.2,0.17,0.2,0.37,0.56,1.85
212,Stefan Elliott,D,BEL/WBS,27.625,46,6,6,11,12,23,86,6.98,0.13,0.13,0.24,0.26,0.5,1.87
213,Sam Anas,RW,IA,25.29,37,9,5,9,14,23,71,12.68,0.24,0.14,0.24,0.38,0.62,1.92
214,David Ullstrom,C,TUC,29.4,29,10,7,6,17,23,49,20.41,0.34,0.24,0.21,0.59,0.79,1.69
215,Christian Wolanin,D,BEL,23.499,34,6,11,6,17,23,57,10.53,0.18,0.32,0.18,0.5,0.68,1.68
216,Filip Hronek,D,GR,20.868,28,7,6,10,13,23,75,9.33,0.25,0.21,0.36,0.46,0.82,2.68
217,Chris Bigras,D,HFD,23.562,52,3,10,10,13,23,76,3.95,0.06,0.19,0.19,0.25,0.44,1.46
218,Frederic Allard,D,MIL,20.718,45,3,11,9,14,23,87,3.45,0.07,0.24,0.2,0.31,0.51,1.93
